date,slot_number,session,direction,decision_idx,flag_ordinal,entry_time,entry_symbol,entry_price,entry_bar_idx,exit_time,exit_price,exit_reason,net_pct,peak_net_pct,entry_chop,chop_score,tq,lock_fired,hold_bars,w1a,h50_held,ignored_flags,regime_hold,regime_eligible,hold_minutes,mode,mode_reason,h50_hold_at,relax,legs,runner_used,mae_net_pct,tp1_hit,trend_at_entry,e_close,e_ema20,e_ema50,e_slope,ax_mode,ax_at,ax_net,pp_armed,pp_fired,pp_arm_at,pp_arm_idx,pp_flip_at,pp_fire_at,pp_fire_idx,pp_peak,pp_give,peak_at
20260617,1,MORNING,DOWN_BLUE,1868,1,2026-06-17T09:42:00+09:00,0197X0,10830.0,1869,2026-06-17T10:18:00+09:00,10765.0,OPPOSITE_SIGNAL,-0.689843,1.3406278855032319,True,3,,False,11,0.8,False,0,False,True,36.0,,,,,"[('2026-06-17T10:18:00+09:00', 10765.0, 1.0, 'OPPOSITE_SIGNAL', -0.6898)]",False,-1.105263157894737,False,False,2389000.0,2388140.8070089635,2379629.819919171,382.45632982999086,,,,False,False,,,,,,,,2026-06-17T09:55:00+09:00
20260617,2,MORNING,UP_RED,1880,2,2026-06-17T10:18:00+09:00,0193T0,29600.0,1881,2026-06-17T11:48:00+09:00,29900.0,SMALL_WHIPSAW_HOLD_EXIT,0.923074,1.5477702702702703,False,2,,False,29,1.0,True,0,False,True,90.0,,,2026-06-17T10:48:00+09:00,,"[('2026-06-17T11:48:00+09:00', 29900.0, 1.0, 'SMALL_WHIPSAW_HOLD_EXIT', 0.9231)]",False,-0.377027027027027,False,True,2402000.0,2392464.382344002,2384898.7973977937,698.0082694776356,,,,False,False,,,,,,,,2026-06-17T10:26:00+09:00
20260617,3,AFTERNOON,UP_RED,1931,6,2026-06-17T12:51:00+09:00,0193T0,30030.0,1932,2026-06-17T13:29:00+09:00,31315.0,TIME_WINDOW_AFTERNOON_TP,4.187146,4.187146187146188,False,2,,False,12,1.0,False,0,False,True,38.0,,,,,"[('2026-06-17T13:29:00+09:00', np.float64(31315.0), 1.0, 'TIME_WINDOW_AFTERNOON_TP', 4.1871)]",False,-0.22314352314352315,False,True,2413000.0,2409380.401234229,2406528.2397583406,264.1534792515449,,,,False,False,,,,,,,,2026-06-17T13:29:00+09:00
20260618,1,MORNING,UP_RED,1982,1,2026-06-18T09:06:00+09:00,0193T0,35170.0,1983,2026-06-18T09:51:00+09:00,34995.0,OPPOSITE_SIGNAL,-0.587376,1.700483366505544,False,0,,False,14,1.0,False,0,False,True,45.0,,,,,"[('2026-06-18T09:51:00+09:00', 34995.0, 1.0, 'OPPOSITE_SIGNAL', -0.5874)]",False,-1.4684105771964746,False,True,2601000.0,2520944.5323095676,2488622.0364382556,4586.85565558169,,,,False,False,,,,,,,,2026-06-18T09:39:00+09:00
20260618,2,MORNING,DOWN_BLUE,1997,2,2026-06-18T09:51:00+09:00,0197X0,8915.0,1998,2026-06-18T11:12:00+09:00,8850.0,OPPOSITE_SIGNAL,-0.818845,2.4887268648345486,False,2,,False,26,1.0,False,0,False,True,81.0,,,,,"[('2026-06-18T11:12:00+09:00', 8850.0, 1.0, 'OPPOSITE_SIGNAL', -0.8188)]",False,-1.2673022994952328,False,False,2627000.0,2601569.103698566,2549056.278443358,3181.376390067395,,,,False,False,,,,,,,,2026-06-18T09:59:00+09:00
20260618,3,AFTERNOON,UP_RED,2024,3,2026-06-18T11:12:00+09:00,0193T0,35240.0,2025,2026-06-18T12:33:00+09:00,36430.0,SMALL_WHIPSAW_HOLD_EXIT,3.285329,2.930760499432463,False,1,,False,26,1.0,True,0,False,True,81.0,,,2026-06-18T11:33:00+09:00,,"[('2026-06-18T12:33:00+09:00', 36430.0, 1.0, 'SMALL_WHIPSAW_HOLD_EXIT', 3.2853)]",False,-0.1467366628830874,False,True,2620000.0,2611158.939977766,2588960.084640767,1266.9353207852691,,,,False,False,,,,,,,,2026-06-18T12:30:00+09:00
20260619,1,MORNING,UP_RED,2108,1,2026-06-19T09:06:00+09:00,0193T0,41150.0,2109,2026-06-19T09:12:00+09:00,40280.0,TIME_WINDOW_STOP_LOSS,-2.203256,0.0,False,0,,False,1,1.0,False,0,False,True,6.0,,,,,"[('2026-06-19T09:12:00+09:00', 40280.0, 1.0, 'TIME_WINDOW_STOP_LOSS', -2.2033)]",False,-2.203256379100851,False,True,2839000.0,2734297.480061038,2703109.563575294,5546.5484254984185,,,,False,False,,,,,,,,
20260619,2,MORNING,DOWN_BLUE,2120,2,2026-06-19T09:42:00+09:00,0197X0,7390.0,2121,2026-06-19T10:03:00+09:00,7265.0,TIME_WINDOW_STOP_LOSS,-1.780785,0.18051420838971582,True,3,,False,6,0.96,False,0,False,True,21.0,,,,,"[('2026-06-19T10:03:00+09:00', 7265.0, 1.0, 'TIME_WINDOW_STOP_LOSS', -1.7808)]",False,-1.7807848443843028,False,False,2831000.0,2792636.3609801084,2746453.0355713298,3450.896507292986,,,,False,False,,,,,,,,2026-06-19T09:46:00+09:00
20260619,3,MORNING,UP_RED,2134,3,2026-06-19T10:24:00+09:00,0193T0,42430.0,2135,2026-06-19T10:39:00+09:00,42195.0,OPPOSITE_SIGNAL,-0.643601,0.36938486919632335,False,1,5.0,False,4,1.04,False,0,False,True,15.0,,,,,"[('2026-06-19T10:39:00+09:00', 42195.0, 1.0, 'OPPOSITE_SIGNAL', -0.6436)]",False,-0.6318171105349988,False,True,2883000.0,2840212.806342698,2791604.2711028224,3730.437914170325,,,,False,False,,,,,,,,2026-06-19T10:27:00+09:00
20260622,1,MORNING,DOWN_BLUE,2237,1,2026-06-22T09:15:00+09:00,0197X0,7785.0,2238,2026-06-22T09:27:00+09:00,7610.0,TIME_WINDOW_STOP_LOSS,-2.33693,0.42363519588953114,False,2,,False,3,1.0,False,0,False,True,12.0,,,,,"[('2026-06-22T09:27:00+09:00', 7610.0, 1.0, 'TIME_WINDOW_STOP_LOSS', -2.3369)]",False,-2.336929993577393,False,False,2758000.0,2761623.178899395,2758747.1027502897,-30.49398980801925,,,,False,False,,,,,,,,2026-06-22T09:17:00+09:00
