date,flag,dec,dir,score,premarket,base_taken,released,rel_at,price,+3m,+6m,+9m,+15m,+30m,+60m,MFE,MAE
20260804,10:18,10:24,R,-2,DOWN_BLUE,False,False,,8430.0,1.9572953736654803,2.372479240806643,3.084223013048636,3.558718861209965,9.66785290628707,3.202846975088968,10.676156583629894,-1.0083036773428233
20260805,09:39,09:45,B,-3,UP_RED,True,False,,8225.0,0.729483282674772,1.82370820668693,1.9452887537993921,3.708206686930091,2.370820668693009,0.364741641337386,4.5592705167173255,-0.48632218844984804
20260806,10:00,10:06,R,-1,DOWN_BLUE,False,False,,8500.0,0.5294117647058824,0.29411764705882354,0.17647058823529413,-1.1764705882352942,0.29411764705882354,0.1176470588235294,2.176470588235294,-2.235294117647059
20260807,09:57,10:03,R,-2,DOWN_BLUE,False,False,,7890.0,-0.6337135614702154,-1.7110266159695817,-2.4714828897338403,-5.323193916349809,-5.323193916349809,-4.435994930291509,1.2040557667934093,-7.604562737642586
20260807,10:51,10:57,R,-2,DOWN_BLUE,False,False,,7445.0,1.4775016789791806,1.2760241773002015,0.20147750167897915,2.0147750167897915,0.7387508394895903,1.4103425117528543,3.022162525184688,-0.6044325050369375
20260811,09:48,09:54,R,-3,DOWN_BLUE,True,False,,7060.0,-0.9915014164305949,-2.1246458923512748,-2.26628895184136,-0.7790368271954674,1.9830028328611897,3.5410764872521248,5.169971671388102,-2.8328611898017
20260812,10:24,10:30,B,-3,UP_RED,False,False,,10435.0,-0.33540967896502155,-1.1020603737422137,-1.7249640632486822,-2.635361763296598,-3.4978437949209393,-6.995687589841879,0.33540967896502155,-7.139434595112602
20260813,09:39,09:45,B,-2,UP_RED,True,False,,8415.0,-0.23767082590612004,-0.23767082590612004,-0.7130124777183601,-0.35650623885918004,-2.43612596553773,0.35650623885918004,1.1883541295306002,-2.7926322043969103
20260818,09:51,09:57,B,-3,UP_RED,True,False,,6975.0,0.5017921146953405,-0.6451612903225806,0.0,-0.7885304659498209,-1.7921146953405016,3.7275985663082443,5.448028673835125,-3.010752688172043
20260819,09:24,09:30,R,-1,DOWN_BLUE,True,False,,8250.0,0.5454545454545455,1.3939393939393938,0.6666666666666667,1.8181818181818181,2.0606060606060606,2.5454545454545454,5.696969696969697,-0.4242424242424243
20260820,10:21,10:27,B,-2,UP_RED,False,False,,7435.0,-0.8742434431741762,-1.546738399462004,-2.555480833893746,-4.236718224613315,-4.10221923335575,-2.555480833893746,1.3449899125756557,-6.1197041022192336
